"CompanyID","ShopNumber","streetaddress1","LocationCity","LocationState","LocationPostalCode","Phone","LocationCountry","locationregion","Longitude","Latitude","LocationEmail","StatusFlag","CenterPrimaryContact","CenterWebsite","HoursWeekdayOpen","HoursWeekdayClose","HoursSaturdayOpen","HoursSaturdayClose","HoursSundayOpen","HoursSundayClose","LocationDirections","StarRating","OpenDate","ABSBrakeService","ACSService","Batteries","Belts","BrakeFluidFlush","Clutches","CoolingSystemService","FuelInjection","OilChangeService","SeHablaEspanol","ShuttleService","SmogCheck","StateInspection","TireRotation","Tires","TrailerHitches","TranssmissionFluidService","TuneUps","WheelAlignment","WheelBalancing","WiperBlades","AmericanExpress","ASESymbol","DinersClub","Discover","Mastercard","MeinekeCreditCard","MilitaryDiscount","SeniorDiscount","Visa","streetaddress2","SEM-CAM","MinorEngineRepair","MotorVehicleInspections","OntarioSafetyInspection","EngineDiagnostics","Brakes","Exhaust","RideControl","FrontEndRepair","EmissionsTesting","ComputerDiagnostic","ExhaustSystemsMufflers","ScheduleMaintenance","Electrical","ShocksStruts","SteeringSuspension","MaintenanceInspection","PerformanceExhaust","CVJoints","DrivelineService","TransmissionServices","HeatingSystemRepair","TireSales","TowingService","FleetServices"
"1","1","10402 Valley Forge Drive","Houston","TX","77042","713/789-8974","US","SG","-95.55881","29.750575","shop.1@meineke.net","Closed","JAMES CUMMINGS","http://www.meineke.com/Center/1.aspx","7:30 AM","6:00 PM","7:30 AM","5:00 PM","NotOpen","NotOpen","(Beltway 8 Toll Road between Briar Forest and Katy Freeway, I-10 West)","","02/22/1971","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","0","0","1","1","0","0","1","1","","","1","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","2","636 West Little York","HOUSTON","TX","77091-2424","713/944-5804","US","SG","","","shop.2@meineke.net","Closed","","http://www.meineke.com/Center/2.aspx","","","","","","","(Between I-45 and North Shepherd)","","04/14/1971","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","1","1","0","1","1","1","","","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","3","1319 Crosstimbers**","HOUSTON","TX","77022-4201","713/692-5187","US","SG","","","shop.3@meineke.net","Closed","","http://www.meineke.com/Center/3.aspx","","","","","","","(1 Block West of Interstate 45)","","05/26/1971","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","1","0","0","1","1","","","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","4","5809 SW Freeway","HOUSTON","TX","77057-7509","713/664-5155","US","SG","-95.480619","29.725008","shop.4@meineke.net","Open","JAMES CUMMINGS","http://www.meineke.com/Center/4.aspx","7:30 AM","6:00 PM","7:30 AM","4:00 PM","NotOpen","NotOpen","(Between Fountain View & Chimney Rock )","2","03/09/1972","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","","832/271-3041","1","1","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"1","5","5311 Griggs","HOUSTON","TX","77021-3712","713/644-2729","US","SG","-95.336012","29.697963","shop.5@meineke.net","Closed","","http://www.meineke.com/Center/5.aspx","7:30 AM","6:00 PM","7:30 AM","4:00 PM","NotOpen","NotOpen","(Bewteen Martin Luther King Jr. Blvd. & Mykawa Rd.)","2","10/10/1972","1","1","1","1","1","1","1","1","1","0","1","0","0","1","0","0","1","1","0","1","1","1","0","0","1","1","0","1","1","1","","","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","6","10134 Thermon","HOUSTON","TX","77075-3412","713/944-0333","US","SG","","","shop.6@meineke.net","Closed","JAMES CUMMINGS","http://www.meineke.com/Center/6.aspx","7:30 AM","6:00 PM","7:30 AM","6:00 PM","NotOpen","NotOpen","(Near Almeda Mall)","","04/16/1973","0","1","0","1","0","0","1","0","1","1","0","0","0","0","0","0","0","1","1","1","0","1","0","0","1","1","0","1","1","1","","","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","7","3025 South Richey","HOUSTON","TX","77017-7219","713/944-0605","US","SG","-95.233399","29.67475","shop.7@meineke.net","Closed","","http://www.meineke.com/Center/7.aspx","7:30 AM","6:00 PM","7:30 AM","4:00 PM","NotOpen","NotOpen","(Near Queens Road)","3","04/01/1973","1","0","1","1","1","0","1","1","1","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","0","1","1","1","","832/844-2461","1","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","8","9939 Long Point","HOUSTON","TX","77055-4115","713/461-7002","US","SG","-95.538742","29.793762","shop.8@meineke.net","Open","JAMES CUMMINGS","http://www.meineke.com/Center/8.aspx","7:30 AM","6:00 PM","7:30 AM","4:00 PM","NotOpen","NotOpen","(Between Gessner & Bunker Hill)","2","05/10/1973","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","0","1","1","1","","832/844-2539","1","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"1","9","9007 Jensen","HOUSTON","TX","77093-6927","713/697-2033","US","SG","","","shop.9@meineke.net","Closed","","http://www.meineke.com/Center/9.aspx","","","","","","","(Corner of Aldine-Westfield)","","05/11/1973","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","10","932 North Shepherd","HOUSTON","TX","77008-6527","713/869-3621","US","SG","-95.409521","29.788096465838","shop.10@meineke.net","Open","Kenneth Mason","http://www.meineke.com/Center/10.aspx","7:30 AM","6:00 PM","8:00 AM","4:00 PM","NotOpen","NotOpen","(Near 11th Street)","3","06/06/1973","1","1","1","1","1","1","1","1","1","0","1","0","0","1","0","1","1","1","0","1","1","1","0","0","0","1","0","0","0","1","","832/844-2989","1","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
